trials,accuracy,logloss
1,0.787234042553192,7.34874387954953
2,0.787234042553192,7.34874387954953
3,0.787234042553192,7.34874387954953
4,0.787234042553192,7.34874387954953
5,0.787234042553192,7.34874387954953
6,0.787234042553192,7.34874387954953
7,0.787234042553192,7.34874387954953
8,0.787234042553192,7.34874387954953
9,0.787234042553192,7.34874387954953
10,0.787234042553192,7.34874387954953
11,0.787234042553192,7.34874387954953
12,0.787234042553192,7.34874387954953
13,0.787234042553192,7.34874387954953
14,0.787234042553192,7.34874387954953
15,0.787234042553192,7.34874387954953
16,0.787234042553192,7.34874387954953
17,0.787234042553192,7.34874387954953
18,0.787234042553192,7.34874387954953
19,0.787234042553192,7.34874387954953
20,0.787234042553192,7.34874387954953
21,0.787234042553192,7.34874387954953
22,0.787234042553192,7.34874387954953
23,0.787234042553192,7.34874387954953
24,0.787234042553192,7.34874387954953
25,0.787234042553192,7.34874387954953
26,0.787234042553192,7.34874387954953
27,0.787234042553192,7.34874387954953
28,0.787234042553192,7.34874387954953
29,0.787234042553192,7.34874387954953
30,0.787234042553192,7.34874387954953
31,0.787234042553192,7.34874387954953
32,0.787234042553192,7.34874387954953
33,0.787234042553192,7.34874387954953
34,0.787234042553192,7.34874387954953
35,0.787234042553192,7.34874387954953
36,0.787234042553192,7.34874387954953
37,0.787234042553192,7.34874387954953
38,0.787234042553192,7.34874387954953
39,0.787234042553192,7.34874387954953
40,0.787234042553192,7.34874387954953
41,0.787234042553192,7.34874387954953
42,0.787234042553192,7.34874387954953
43,0.787234042553192,7.34874387954953
44,0.787234042553192,7.34874387954953
45,0.787234042553192,7.34874387954953
46,0.787234042553192,7.34874387954953
47,0.787234042553192,7.34874387954953
48,0.787234042553192,7.34874387954953
49,0.787234042553192,7.34874387954953
50,0.787234042553192,7.34874387954953
51,0.787234042553192,7.34874387954953
52,0.787234042553192,7.34874387954953
53,0.787234042553192,7.34874387954953
54,0.787234042553192,7.34874387954953
55,0.787234042553192,7.34874387954953
56,0.787234042553192,7.34874387954953
57,0.787234042553192,7.34874387954953
58,0.787234042553192,7.34874387954953
59,0.787234042553192,7.34874387954953
60,0.787234042553192,7.34874387954953
61,0.787234042553192,7.34874387954953
62,0.787234042553192,7.34874387954953
63,0.787234042553192,7.34874387954953
64,0.787234042553192,7.34874387954953
65,0.787234042553192,7.34874387954953
66,0.787234042553192,7.34874387954953
67,0.787234042553192,7.34874387954953
68,0.787234042553192,7.34874387954953
69,0.787234042553192,7.34874387954953
70,0.787234042553192,7.34874387954953
71,0.787234042553192,7.34874387954953
72,0.787234042553192,7.34874387954953
73,0.787234042553192,7.34874387954953
74,0.787234042553192,7.34874387954953
75,0.787234042553192,7.34874387954953
76,0.787234042553192,7.34874387954953
77,0.787234042553192,7.34874387954953
78,0.787234042553192,7.34874387954953
79,0.787234042553192,7.34874387954953
80,0.787234042553192,7.34874387954953
81,0.787234042553192,7.34874387954953
82,0.787234042553192,7.34874387954953
83,0.787234042553192,7.34874387954953
84,0.787234042553192,7.34874387954953
85,0.787234042553192,7.34874387954953
86,0.787234042553192,7.34874387954953
87,0.787234042553192,7.34874387954953
88,0.787234042553192,7.34874387954953
89,0.787234042553192,7.34874387954953
90,0.787234042553192,7.34874387954953
91,0.787234042553192,7.34874387954953
92,0.787234042553192,7.34874387954953
93,0.787234042553192,7.34874387954953
94,0.787234042553192,7.34874387954953
95,0.787234042553192,7.34874387954953
96,0.787234042553192,7.34874387954953
97,0.787234042553192,7.34874387954953
98,0.787234042553192,7.34874387954953
99,0.787234042553192,7.34874387954953
100,0.787234042553192,7.34874387954953
